180;<6. 4. 7>;0;0;;;;;;;
181;<5. 3. 5>;3;3;3454;53937;97256;;;;
182;<8. 1. 8>;0;0;;;;;;;
183;<6. 2. 1>;0;0;;;;;;;
184;<6. 3. 10>;1;1;38173;;;;;;
185;<3. 3. 1>;1;1;90647;;;;;;
186;<5. 2. 1>;0;0;;;;;;;
187;<4. 1. 5>;1;1;47657;;;;;;
188;<6. 1. 1>;0;0;;;;;;;
189;<5. 4. 1>;2;2;52260;75386;;;;;
190;<5. 3. 7>;1;1;36612;;;;;;
191;<4. 4. 7>;1;1;63300;;;;;;
192;<4. 4. 3>;0;0;;;;;;;
193;<5. 1. 8>;4;4;18738;25113;40147;49004;;;
194;<5. 2. 1>;2;2;327;32794;;;;;
195;<6. 2. 5>;2;2;48650;79186;;;;;
196;<3. 3. 1>;2;2;43023;96118;;;;;
197;<4. 2. 5>;0;0;;;;;;;
198;<4. 2. 6>;2;2;30383;45356;;;;;
199;<5. 2. 5>;1;1;27844;;;;;;
200;<9. 1. 6>;2;2;31776;41662;;;;;
201;<5. 2. 4>;0;0;;;;;;;
202;<3. 2. 3>;1;1;61609;;;;;;
203;<5. 2. 7>;1;1;83020;;;;;;
204;<7. 2. 5>;1;1;38967;;;;;;
205;<6. 3. 4>;2;2;28036;31908;;;;;
206;<7. 1. 8>;0;0;;;;;;;
207;<5. 2. 3>;0;0;;;;;;;
208;<5. 1. 2>;2;2;27458;60875;;;;;
209;<5. 3. 4>;0;0;;;;;;;
210;<4. 1. 7>;1;1;97737;;;;;;
211;<3. 4. 2>;1;1;70529;;;;;;
212;<6. 2. 4>;0;0;;;;;;;
213;<6. 3. 2>;0;0;;;;;;;
214;<7. 5. 3>;2;2;6369;47661;;;;;
215;<4. 2. 4>;2;2;50073;51760;;;;;
216;<6. 2. 8>;0;0;;;;;;;
217;<4. 3. 6>;3;3;28840;40112;55399;;;;
218;<6. 1. 5>;0;0;;;;;;;
219;<5. 1. 6>;1;1;12923;;;;;;
220;<5. 2. 5>;0;0;;;;;;;
221;<6. 2. 9>;1;1;67863;;;;;;
222;<4. 1. 8>;1;1;75221;;;;;;
223;<5. 4. 2>;0;0;;;;;;;
224;<4. 3. 1>;3;3;44175;51880;58484;;;;
225;<5. 4. 4>;2;2;39554;94423;;;;;
226;<4. 1. 2>;2;2;7497;76391;;;;;
227;<3. 2. 2>;2;2;58518;78992;;;;;
228;<6. 2. 2>;1;1;10431;;;;;;
229;<6. 3. 6>;1;1;92244;;;;;;
230;<5. 1. 4>;3;3;3140;42313;91777;;;;
231;<4. 1. 4>;0;0;;;;;;;
232;<4. 2. 3>;2;2;14736;53459;;;;;
233;<7. 5. 7>;1;1;90180;;;;;;
234;<6. 1. 9>;0;0;;;;;;;
235;<5. 3. 6>;2;2;6127;47846;;;;;
236;<7. 2. 7>;1;1;44357;;;;;;
237;<5. 1. 6>;2;2;1801;93212;;;;;
238;<6. 3. 4>;0;0;;;;;;;
239;<7. 1. 1>;1;1;47790;;;;;;
240;<6. 4. 5>;0;0;;;;;;;
241;<7. 4. 1>;0;0;;;;;;;
242;<6. 1. 8>;0;0;;;;;;;
243;<5. 1. 2>;2;2;4350;74942;;;;;
244;<4. 3. 4>;3;3;33440;54352;82959;;;;
245;<8. 1. 3>;0;0;;;;;;;
246;<7. 3. 8>;0;0;;;;;;;
247;<2. 3. 1>;0;0;;;;;;;
248;<5. 4. 5>;1;1;29756;;;;;;
249;<6. 1. 1>;1;1;36137;;;;;;
250;<5. 2. 1>;0;0;;;;;;;
251;<5. 1. 2>;2;2;76765;83050;;;;;
252;<4. 3. 4>;2;2;21805;92433;;;;;
253;<6. 2. 6>;1;1;22292;;;;;;
254;<5. 4. 1>;0;0;;;;;;;
255;<5. 2. 3>;0;0;;;;;;;
256;<6. 1. 1>;1;1;66601;;;;;;
257;<6. 1. 1>;2;2;73755;92808;;;;;
258;<4. 2. 1>;2;2;22368;59190;;;;;
259;<6. 4. 2>;0;0;;;;;;;
