77;<10. 9. 5>;3;3227;4491;8012;9521;9580;
78;<5. 6. 9>;0;1059;5061;5291;5748;6431;
79;<6. 1. 1>;0;4749;4862;
80;<10. 6. 4>;0;1389;1480;3543;4588;4667;
81;<1. 10. 7>;1;4665;6424;6670;8327;8731;
82;<2. 9. 8>;0;3461;5948;7563;8212;8285;
83;<3. 5. 8>;0;1343;1391;3587;3776;6993;
84;<5. 9. 3>;0;1879;4249;8084;8127;8922;9045;
85;<3. 1. 9>;0;839;1424;5111;6509;7486;
86;<7. 3. 2>;0;749;5716;7262;
87;<2. 3. 7>;0;3367;3711;6238;6898;7321;8840;9202;9493;
88;<1. 7. 7>;0;321;762;1680;4635;5001;5552;6333;7424;8254;8544;
89;<2. 5. 3>;0;3454;7050;8074;
90;<8. 10. 7>;5;2914;5686;8040;8289;8408;8729;9528;9966;
91;<3. 6. 6>;0;1432;4062;6930;
92;<6. 6. 10>;0;961;1283;3503;4422;4833;8128;9809;
93;<5. 2. 8>;1;1553;2205;2303;2608;5206;6982;8692;9135;9980;
94;<8. 9. 6>;3;85;203;508;716;3679;5282;5723;7445;
95;<4. 10. 1>;0;520;592;2696;3673;5416;5429;6506;6923;7003;9263;
96;<1. 2. 7>;0;1639;2364;2802;3878;5063;6534;6836;7004;8550;8618;9822;9846;
97;<9. 4. 9>;4;2390;3554;3837;6129;8039;8436;9214;9499;9517;
98;<9. 10. 10>;9;1702;2075;2614;2812;2969;3381;4389;8077;9101;
99;<7. 1. 3>;0;2838;2900;3219;3386;5991;6133;
100;<6. 9. 7>;3;1196;2503;3473;4671;5543;6895;7729;9019;
101;<10. 1. 8>;0;2019;3586;6289;
102;<6. 7. 6>;0;3344;5141;5788;9153;9213;
103;<1. 2. 2>;0;341;1627;2982;4401;5002;5111;5921;6492;6551;6683;8288;
104;<2. 5. 3>;0;2253;2644;4082;
105;<5. 2. 8>;0;2883;3578;3695;3707;5212;5591;6892;8666;8790;
106;<9. 2. 2>;0;440;491;1411;1422;3409;6989;8066;
107;<4. 8. 5>;0;7907;8730;8905;8926;
108;<8. 5. 3>;0;2406;4850;5759;6550;7086;7484;7783;
109;<7. 5. 3>;0;2692;5187;7476;9627;
110;<6. 8. 7>;0;2270;3156;6328;7136;7701;9676;9713;9948;9972;
111;<10. 1. 5>;1;2344;3889;4254;7701;
112;<8. 9. 4>;1;5012;5294;5596;6177;8042;9862;
113;<8. 5. 7>;1;3198;5058;5210;
114;<7. 9. 10>;13;56;629;1356;1982;2003;2134;3021;3899;4306;5013;6765;7487;7676;9479;9587;9644;
115;<10. 8. 8>;7;2300;3445;4250;7524;9203;9606;9642;
116;<4. 9. 9>;1;2090;4261;5035;5383;5873;5914;7677;8515;
117;<7. 10. 8>;1;3228;4219;9647;
118;<4. 1. 9>;1;1530;3225;3499;6185;6346;7426;9209;9232;9907;
119;<3. 6. 7>;0;3431;6955;8771;9758;
120;<1. 6. 9>;0;8722;9655;
121;<7. 8. 5>;0;1387;3339;4768;6283;9060;9329;9535;
122;<10. 2. 3>;1;1347;1887;4965;5581;6584;7499;8230;
123;<8. 10. 3>;0;390;2280;3741;5666;6731;
124;<3. 3. 7>;0;609;1907;4114;5361;
125;<4. 9. 9>;2;1120;1484;1612;4186;4493;
126;<3. 4. 6>;0;3184;3328;6561;6670;6829;7021;7126;
127;<4. 5. 8>;0;2121;4804;5540;6505;8392;
128;<7. 7. 9>;0;737;1015;1416;4031;4463;4810;8121;
129;<6. 8. 9>;2;413;1529;3991;4845;5641;
130;<3. 4. 4>;0;1021;2561;2822;3838;6347;7644;8705;8767;9462;
131;<6. 7. 9>;3;32;125;2112;2689;5831;6445;7054;9677;
132;<8. 10. 9>;3;4930;6247;9228;
133;<3. 1. 10>;0;1065;1802;2388;4459;5264;6578;6997;7634;8421;
134;<6. 7. 7>;0;1544;3571;5125;5588;6112;7168;7861;8670;
135;<2. 4. 5>;0;98;151;2202;3112;3541;3666;3688;5373;8248;
136;<10. 10. 6>;4;726;4391;4740;4883;8740;
137;<9. 1. 1>;0;1492;1737;5819;9495;
138;<3. 5. 10>;1;146;489;2084;3360;5350;6393;6451;8908;
139;<10. 2. 10>;2;788;7728;7837;8172;
140;<6. 4. 6>;0;4448;5611;8242;8827;
141;<1. 4. 5>;0;137;721;859;2901;3179;4079;5942;8894;
142;<7. 7. 7>;1;993;2114;3549;3703;6822;7238;7845;
143;<10. 6. 2>;1;1116;1547;1876;4746;6029;6784;7459;8149;8969;9230;9425;
144;<8. 6. 9>;4;86;428;621;1809;4683;6759;6955;9478;
145;<8. 6. 10>;4;268;1625;4289;5221;8509;
146;<1. 6. 4>;0;1343;1958;2833;6658;8556;8836;9146;9325;9824;
147;<6. 3. 10>;1;2506;2533;2960;6437;8461;
148;<9. 4. 8>;0;2756;7703;8336;
149;<9. 6. 9>;2;179;506;2959;4531;7573;
150;<2. 8. 7>;0;806;1342;2751;5171;5686;8511;8859;8909;
151;<1. 9. 10>;0;1522;1619;2686;2868;2950;3978;6665;8826;9037;
152;<4. 10. 9>;5;916;2453;4582;5314;5324;7322;8957;
153;<2. 2. 6>;0;3133;3533;3610;7433;7491;8590;
154;<10. 5. 7>;2;59;547;1369;8281;8318;8800;9022;9955;
155;<6. 3. 5>;0;585;1560;2813;3030;6057;6638;8950;
156;<6. 8. 4>;0;1709;2225;4035;4725;4865;5345;8380;
157;<6. 10. 3>;0;1598;1641;3321;4591;5626;7787;
158;<6. 1. 4>;0;2083;2666;2735;3411;4592;4704;6171;8769;
159;<4. 4. 7>;0;785;1371;4838;4951;5844;6926;7250;9448;
160;<8. 5. 5>;2;2438;3934;4483;5883;5909;7498;7840;8363;8628;8814;
161;<5. 3. 9>;1;252;1746;3280;6081;6904;9231;
162;<6. 5. 10>;2;2257;2847;3578;4509;5330;5695;6228;8668;8777;9385;9946;
163;<2. 1. 7>;0;881;1020;2566;4457;5433;7049;9927;
164;<5. 7. 5>;0;1531;6098;6815;
165;<6. 8. 2>;0;1361;3472;3894;5564;5772;7788;
166;<9. 5. 9>;3;1278;1626;2323;3289;5609;5768;9653;9733;
167;<9. 8. 3>;0;1337;3351;4473;6020;8891;9407;
168;<4. 8. 8>;3;602;1588;2408;3318;7525;8348;
169;<7. 4. 6>;1;83;1867;2677;3421;4694;5274;6360;6551;8199;9186;9565;
170;<7. 9. 2>;2;30;4002;4413;5330;6323;7323;7494;
171;<7. 9. 5>;4;878;1604;3785;4225;6987;7847;8273;9053;
172;<9. 3. 7>;0;2784;6708;7827;8696;
173;<1. 5. 1>;0;653;1149;2033;3165;3737;5674;6380;8847;
174;<1. 4. 5>;0;1116;1887;3845;9926;9943;
175;<10. 2. 10>;4;1385;2761;3037;3661;4691;4758;8424;8626;8880;9587;
176;<10. 4. 7>;1;5;2594;4447;4710;5112;5486;7597;9812;
177;<2. 9. 5>;0;1861;2054;2669;5505;5574;6961;7367;7707;
